SUBJECT,PREDICATE,OBJECT
Card Game, rdf:type, Human-Made Object 
Card Game, crm:P2_has_type, Board Game   
Card Game, dct:title, Caesar & Cleopatra  
Card Game, dcterms:creator, Wolfgang Ludtke  
Card Game, crm:E53_Place, Germany
Card Game, dct:date, 2000
Card Game, dct:subject, Ceasar and Cleopatra  
Card Game, crm:E47_Material, Paper  
Card Game, schema:duration, 60min 
Card Game, schema:genre, Strategy   
Card Game, dcterms:language, Italian  
Card Game, dcterms:publisher, Rio Grande Games
Card Game, dcterms:publisher, Laser Plu
Card Game, dcterms:publisher, Kosmos Games
Card Game, dcterms:publisher, 999Games
Card Game, dcterms:publisher, Filosofia Éditions
Card Game, dcterms:publisher, Kaissa Chess & Games
