SUBJECT,PREDICATE,OBJECT
Movie,rdf:type, Movie  
Movie,crm:P102_has_title, Cleopatra
Movie,schema:director, Joseph L. Mankiewicz  
Movie,schema:producer, Walter Wanger 
Movie,crm:P108_was_produced_by, 20th Century Studios 
Movie,schema:datePublished, 1963
Movie,schema:duration, 217min
Movie,crm:P7_took_place_at, United States  
Movie,dct:inLanguage,English
Movie,dcterms:subject, Cleopatra VII
Movie,schema:genre, Colossal
Movie,crm:PC14_carried_out_by, Elizabeth Taylor
Movie,dcterms:subject, Julius Caesar
Movie,dcterms:subject, Mark Antony
